Date,Ticker,Company,Close,Market Cap,Volume
2025-01-02,041510,에스엠,71500,,184848
2025-01-02,048550,에스엠컬처앤콘텐츠,1427,,86854
2025-01-02,054780,키이스트,4880,,55703
2025-01-02,060570,드림어스컴퍼니,9090,,30279
2025-01-02,063440,에스엠라이프디자인그룹,1258,,59498
2025-01-02,376300,디어유,33800,,286812
2025-01-03,041510,에스엠,72600,,101803
2025-01-03,048550,에스엠컬처앤콘텐츠,1451,,169474
2025-01-03,054780,키이스트,4840,,60510
2025-01-03,060570,드림어스컴퍼니,8795,,9536
2025-01-03,063440,에스엠라이프디자인그룹,1261,,78587
2025-01-03,376300,디어유,34750,,234593
2025-01-06,041510,에스엠,70400,,244234
2025-01-06,048550,에스엠컬처앤콘텐츠,1478,,139186
2025-01-06,054780,키이스트,4860,,122920
2025-01-06,060570,드림어스컴퍼니,8700,,8088
2025-01-06,063440,에스엠라이프디자인그룹,1279,,115923
2025-01-06,376300,디어유,29400,,1528708
2025-01-07,041510,에스엠,70300,,271376
2025-01-07,048550,에스엠컬처앤콘텐츠,1478,,150501
2025-01-07,054780,키이스트,4855,,46933
2025-01-07,060570,드림어스컴퍼니,8705,,4513
2025-01-07,063440,에스엠라이프디자인그룹,1347,,1052990
2025-01-07,376300,디어유,32100,,1064419
2025-01-08,041510,에스엠,68700,,221125
2025-01-08,048550,에스엠컬처앤콘텐츠,1487,,94778
2025-01-08,054780,키이스트,4830,,20941
2025-01-08,060570,드림어스컴퍼니,8785,,27713
2025-01-08,063440,에스엠라이프디자인그룹,1302,,155084
2025-01-08,376300,디어유,31000,,338087
2025-01-09,041510,에스엠,68300,,164715
2025-01-09,048550,에스엠컬처앤콘텐츠,1476,,155183
2025-01-09,054780,키이스트,4830,,49386
2025-01-09,060570,드림어스컴퍼니,8715,,18610
2025-01-09,063440,에스엠라이프디자인그룹,1296,,104707
2025-01-09,376300,디어유,30250,,337255
2025-01-10,041510,에스엠,68900,,216471
2025-01-10,048550,에스엠컬처앤콘텐츠,1518,,187453
2025-01-10,054780,키이스트,4815,,31771
2025-01-10,060570,드림어스컴퍼니,8820,,12258
2025-01-10,063440,에스엠라이프디자인그룹,1295,,67031
2025-01-10,376300,디어유,31950,,319666
2025-01-13,041510,에스엠,72000,,408318
2025-01-13,048550,에스엠컬처앤콘텐츠,1480,,112833
2025-01-13,054780,키이스트,4455,,150380
2025-01-13,060570,드림어스컴퍼니,8565,,13730
2025-01-13,063440,에스엠라이프디자인그룹,1298,,85602
2025-01-13,376300,디어유,32200,,240136
2025-01-14,041510,에스엠,77000,,305099
2025-01-14,048550,에스엠컬처앤콘텐츠,1482,,54154
2025-01-14,054780,키이스트,4430,,53680
2025-01-14,060570,드림어스컴퍼니,8720,,12090
2025-01-14,063440,에스엠라이프디자인그룹,1293,,67215
2025-01-14,376300,디어유,32700,,264452
2025-01-15,041510,에스엠,77300,,132602
2025-01-15,048550,에스엠컬처앤콘텐츠,1484,,104205
2025-01-15,054780,키이스트,4345,,62219
2025-01-15,060570,드림어스컴퍼니,8530,,13383
2025-01-15,063440,에스엠라이프디자인그룹,1298,,97978
2025-01-15,376300,디어유,33050,,174966
2025-01-16,041510,에스엠,77100,,126576
2025-01-16,048550,에스엠컬처앤콘텐츠,1496,,47134
2025-01-16,054780,키이스트,4425,,51930
2025-01-16,060570,드림어스컴퍼니,8870,,290290
2025-01-16,063440,에스엠라이프디자인그룹,1307,,49996
2025-01-16,376300,디어유,33450,,152750
2025-01-17,041510,에스엠,78400,,155226
2025-01-17,048550,에스엠컬처앤콘텐츠,1494,,89429
2025-01-17,054780,키이스트,4465,,1856797
2025-01-17,060570,드림어스컴퍼니,8815,,30806
2025-01-17,063440,에스엠라이프디자인그룹,1306,,76102
2025-01-17,376300,디어유,34650,,321702
2025-01-20,041510,에스엠,78300,,127925
2025-01-20,048550,에스엠컬처앤콘텐츠,1472,,82264
2025-01-20,054780,키이스트,4405,,101193
2025-01-20,060570,드림어스컴퍼니,8615,,27175
